issue_description,status,priority,metadata
File uploads fail with unknown error message.,open,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-05T14:36:15.191803"", ""last_updated"": ""2025-02-10T14:36:15.191804""}"
Database connection errors occur randomly.,resolved,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-07T14:36:15.191809"", ""last_updated"": ""2025-02-10T14:36:15.191810""}"
Email notifications are not being sent to customers.,in_progress,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-01T14:36:15.191815"", ""last_updated"": ""2025-02-10T14:36:15.191816""}"
Payment processing fails for international customers.,in_progress,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-22T14:36:15.191821"", ""last_updated"": ""2025-02-10T14:36:15.191823""}"
Application crashes when submitting a form.,open,medium,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-27T14:36:15.191827"", ""last_updated"": ""2025-02-10T14:36:15.191829""}"
Database connection errors occur randomly.,resolved,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-13T14:36:15.191833"", ""last_updated"": ""2025-02-10T14:36:15.191835""}"
Payment processing fails for international customers.,in_progress,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-14T14:36:15.191839"", ""last_updated"": ""2025-02-10T14:36:15.191841""}"
File uploads fail with unknown error message.,in_progress,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-07T14:36:15.191846"", ""last_updated"": ""2025-02-10T14:36:15.191847""}"
VPN connection drops intermittently for remote workers.,resolved,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-06T14:36:15.191852"", ""last_updated"": ""2025-02-10T14:36:15.191854""}"
Users unable to reset passwords via the portal.,in_progress,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-20T14:36:15.191858"", ""last_updated"": ""2025-02-10T14:36:15.191860""}"
"User cannot log in, receiving authentication error.",in_progress,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-06T14:36:15.191865"", ""last_updated"": ""2025-02-10T14:36:15.191867""}"
"User cannot log in, receiving authentication error.",in_progress,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-18T14:36:15.191871"", ""last_updated"": ""2025-02-10T14:36:15.191873""}"
Database connection errors occur randomly.,resolved,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-21T14:36:15.191877"", ""last_updated"": ""2025-02-10T14:36:15.191879""}"
File uploads fail with unknown error message.,in_progress,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-03T14:36:15.191883"", ""last_updated"": ""2025-02-10T14:36:15.191885""}"
Users unable to reset passwords via the portal.,open,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-10T14:36:15.191889"", ""last_updated"": ""2025-02-10T14:36:15.191891""}"
"User cannot log in, receiving authentication error.",in_progress,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-22T14:36:15.191896"", ""last_updated"": ""2025-02-10T14:36:15.191897""}"
Mobile app freezes when navigating to settings.,resolved,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-28T14:36:15.191902"", ""last_updated"": ""2025-02-10T14:36:15.191903""}"
Users unable to reset passwords via the portal.,in_progress,medium,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-31T14:36:15.191908"", ""last_updated"": ""2025-02-10T14:36:15.191909""}"
Slow loading times on the website homepage.,resolved,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-13T14:36:15.191914"", ""last_updated"": ""2025-02-10T14:36:15.191915""}"
Slow loading times on the website homepage.,resolved,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-29T14:36:15.191920"", ""last_updated"": ""2025-02-10T14:36:15.191922""}"
File uploads fail with unknown error message.,resolved,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-18T14:36:15.191926"", ""last_updated"": ""2025-02-10T14:36:15.191928""}"
Application crashes when submitting a form.,open,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-21T14:36:15.191932"", ""last_updated"": ""2025-02-10T14:36:15.191934""}"
File uploads fail with unknown error message.,open,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-20T14:36:15.191939"", ""last_updated"": ""2025-02-10T14:36:15.191940""}"
Payment processing fails for international customers.,in_progress,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-18T14:36:15.191945"", ""last_updated"": ""2025-02-10T14:36:15.191946""}"
Users unable to reset passwords via the portal.,in_progress,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-16T14:36:15.191951"", ""last_updated"": ""2025-02-10T14:36:15.191952""}"
Mobile app freezes when navigating to settings.,resolved,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-20T14:36:15.191957"", ""last_updated"": ""2025-02-10T14:36:15.191958""}"
Database connection errors occur randomly.,in_progress,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-08T14:36:15.191963"", ""last_updated"": ""2025-02-10T14:36:15.191965""}"
"User cannot log in, receiving authentication error.",resolved,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-19T14:36:15.191969"", ""last_updated"": ""2025-02-10T14:36:15.191971""}"
Email notifications are not being sent to customers.,in_progress,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-06T14:36:15.191975"", ""last_updated"": ""2025-02-10T14:36:15.191977""}"
Payment processing fails for international customers.,open,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-03T14:36:15.191981"", ""last_updated"": ""2025-02-10T14:36:15.191983""}"
File uploads fail with unknown error message.,resolved,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-10T14:36:15.191987"", ""last_updated"": ""2025-02-10T14:36:15.191989""}"
Payment processing fails for international customers.,in_progress,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-27T14:36:15.191993"", ""last_updated"": ""2025-02-10T14:36:15.191995""}"
Database connection errors occur randomly.,open,high,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-19T14:36:15.191999"", ""last_updated"": ""2025-02-10T14:36:15.192001""}"
Payment processing fails for international customers.,resolved,high,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-15T14:36:15.192006"", ""last_updated"": ""2025-02-10T14:36:15.192008""}"
Users unable to reset passwords via the portal.,open,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-20T14:36:15.192012"", ""last_updated"": ""2025-02-10T14:36:15.192014""}"
File uploads fail with unknown error message.,open,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-10T14:36:15.192018"", ""last_updated"": ""2025-02-10T14:36:15.192020""}"
Payment processing fails for international customers.,resolved,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-09T14:36:15.192025"", ""last_updated"": ""2025-02-10T14:36:15.192026""}"
Users unable to reset passwords via the portal.,resolved,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-05T14:36:15.192032"", ""last_updated"": ""2025-02-10T14:36:15.192034""}"
Users unable to reset passwords via the portal.,resolved,high,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-09T14:36:15.192038"", ""last_updated"": ""2025-02-10T14:36:15.192040""}"
Mobile app freezes when navigating to settings.,open,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-26T14:36:15.192045"", ""last_updated"": ""2025-02-10T14:36:15.192046""}"
VPN connection drops intermittently for remote workers.,resolved,medium,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-20T14:36:15.192051"", ""last_updated"": ""2025-02-10T14:36:15.192053""}"
Slow loading times on the website homepage.,open,high,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-02T14:36:15.192057"", ""last_updated"": ""2025-02-10T14:36:15.192059""}"
Mobile app freezes when navigating to settings.,open,critical,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-02-02T14:36:15.192063"", ""last_updated"": ""2025-02-10T14:36:15.192065""}"
Users unable to reset passwords via the portal.,in_progress,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-10T14:36:15.192069"", ""last_updated"": ""2025-02-10T14:36:15.192071""}"
Users unable to reset passwords via the portal.,open,medium,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-23T14:36:15.192075"", ""last_updated"": ""2025-02-10T14:36:15.192077""}"
File uploads fail with unknown error message.,resolved,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-05T14:36:15.192083"", ""last_updated"": ""2025-02-10T14:36:15.192084""}"
Slow loading times on the website homepage.,resolved,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-03T14:36:15.192089"", ""last_updated"": ""2025-02-10T14:36:15.192091""}"
Mobile app freezes when navigating to settings.,open,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-15T14:36:15.192095"", ""last_updated"": ""2025-02-10T14:36:15.192097""}"
"User cannot log in, receiving authentication error.",in_progress,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-24T14:36:15.192101"", ""last_updated"": ""2025-02-10T14:36:15.192103""}"
Database connection errors occur randomly.,resolved,high,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-21T14:36:15.192108"", ""last_updated"": ""2025-02-10T14:36:15.192109""}"
Payment processing fails for international customers.,open,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-24T14:36:15.192114"", ""last_updated"": ""2025-02-10T14:36:15.192116""}"
VPN connection drops intermittently for remote workers.,open,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-03T14:36:15.192120"", ""last_updated"": ""2025-02-10T14:36:15.192122""}"
VPN connection drops intermittently for remote workers.,open,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-27T14:36:15.192126"", ""last_updated"": ""2025-02-10T14:36:15.192128""}"
Database connection errors occur randomly.,in_progress,critical,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-18T14:36:15.192132"", ""last_updated"": ""2025-02-10T14:36:15.192134""}"
Users unable to reset passwords via the portal.,resolved,critical,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-16T14:36:15.192139"", ""last_updated"": ""2025-02-10T14:36:15.192140""}"
Users unable to reset passwords via the portal.,resolved,high,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-15T14:36:15.192145"", ""last_updated"": ""2025-02-10T14:36:15.192146""}"
Email notifications are not being sent to customers.,in_progress,medium,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-13T14:36:15.192151"", ""last_updated"": ""2025-02-10T14:36:15.192153""}"
Application crashes when submitting a form.,resolved,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-27T14:36:15.192157"", ""last_updated"": ""2025-02-10T14:36:15.192159""}"
Mobile app freezes when navigating to settings.,open,medium,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-13T14:36:15.192164"", ""last_updated"": ""2025-02-10T14:36:15.192165""}"
Application crashes when submitting a form.,in_progress,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-13T14:36:15.192170"", ""last_updated"": ""2025-02-10T14:36:15.192171""}"
VPN connection drops intermittently for remote workers.,in_progress,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-22T14:36:15.192176"", ""last_updated"": ""2025-02-10T14:36:15.192178""}"
Payment processing fails for international customers.,in_progress,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-06T14:36:15.192182"", ""last_updated"": ""2025-02-10T14:36:15.192184""}"
Database connection errors occur randomly.,in_progress,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-31T14:36:15.192188"", ""last_updated"": ""2025-02-10T14:36:15.192190""}"
Email notifications are not being sent to customers.,open,high,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-17T14:36:15.192195"", ""last_updated"": ""2025-02-10T14:36:15.192196""}"
Payment processing fails for international customers.,resolved,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-22T14:36:15.192201"", ""last_updated"": ""2025-02-10T14:36:15.192203""}"
Slow loading times on the website homepage.,in_progress,critical,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-21T14:36:15.192283"", ""last_updated"": ""2025-02-10T14:36:15.192319""}"
Email notifications are not being sent to customers.,open,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-13T14:36:15.192354"", ""last_updated"": ""2025-02-10T14:36:15.192385""}"
Users unable to reset passwords via the portal.,in_progress,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-25T14:36:15.192419"", ""last_updated"": ""2025-02-10T14:36:15.192426""}"
Database connection errors occur randomly.,resolved,medium,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-06T14:36:15.192442"", ""last_updated"": ""2025-02-10T14:36:15.192448""}"
Database connection errors occur randomly.,resolved,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-16T14:36:15.192462"", ""last_updated"": ""2025-02-10T14:36:15.192468""}"
Payment processing fails for international customers.,in_progress,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-13T14:36:15.192482"", ""last_updated"": ""2025-02-10T14:36:15.192487""}"
"User cannot log in, receiving authentication error.",resolved,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-07T14:36:15.192501"", ""last_updated"": ""2025-02-10T14:36:15.192506""}"
Payment processing fails for international customers.,resolved,low,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-16T14:36:15.192520"", ""last_updated"": ""2025-02-10T14:36:15.192525""}"
Application crashes when submitting a form.,resolved,medium,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-05T14:36:15.192547"", ""last_updated"": ""2025-02-10T14:36:15.192554""}"
VPN connection drops intermittently for remote workers.,in_progress,high,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-17T14:36:15.192587"", ""last_updated"": ""2025-02-10T14:36:15.192606""}"
Users unable to reset passwords via the portal.,in_progress,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-01-20T14:36:15.192620"", ""last_updated"": ""2025-02-10T14:36:15.192626""}"
"User cannot log in, receiving authentication error.",resolved,low,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-31T14:36:15.192640"", ""last_updated"": ""2025-02-10T14:36:15.192645""}"
"User cannot log in, receiving authentication error.",resolved,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-30T14:36:15.192659"", ""last_updated"": ""2025-02-10T14:36:15.192664""}"
File uploads fail with unknown error message.,resolved,high,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-14T14:36:15.192677"", ""last_updated"": ""2025-02-10T14:36:15.192696""}"
Application crashes when submitting a form.,open,medium,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-23T14:36:15.192767"", ""last_updated"": ""2025-02-10T14:36:15.192778""}"
Mobile app freezes when navigating to settings.,in_progress,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-20T14:36:15.192797"", ""last_updated"": ""2025-02-10T14:36:15.192803""}"
"User cannot log in, receiving authentication error.",in_progress,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-24T14:36:15.192821"", ""last_updated"": ""2025-02-10T14:36:15.192826""}"
Slow loading times on the website homepage.,resolved,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-02-03T14:36:15.192856"", ""last_updated"": ""2025-02-10T14:36:15.192868""}"
Mobile app freezes when navigating to settings.,resolved,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-11T14:36:15.192891"", ""last_updated"": ""2025-02-10T14:36:15.192898""}"
Users unable to reset passwords via the portal.,resolved,critical,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-12T14:36:15.192913"", ""last_updated"": ""2025-02-10T14:36:15.192919""}"
Mobile app freezes when navigating to settings.,resolved,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-02-08T14:36:15.193003"", ""last_updated"": ""2025-02-10T14:36:15.193010""}"
File uploads fail with unknown error message.,in_progress,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-02-10T14:36:15.193017"", ""last_updated"": ""2025-02-10T14:36:15.193019""}"
Users unable to reset passwords via the portal.,resolved,low,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-02-09T14:36:15.193024"", ""last_updated"": ""2025-02-10T14:36:15.193026""}"
Email notifications are not being sent to customers.,open,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-24T14:36:15.193030"", ""last_updated"": ""2025-02-10T14:36:15.193032""}"
VPN connection drops intermittently for remote workers.,resolved,critical,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-01-12T14:36:15.193037"", ""last_updated"": ""2025-02-10T14:36:15.193039""}"
Slow loading times on the website homepage.,open,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-30T14:36:15.193043"", ""last_updated"": ""2025-02-10T14:36:15.193046""}"
File uploads fail with unknown error message.,resolved,medium,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-18T14:36:15.193050"", ""last_updated"": ""2025-02-10T14:36:15.193052""}"
Mobile app freezes when navigating to settings.,resolved,medium,"{""tags"": [""mobile"", ""app-crash""], ""resolution_steps"": [""Update app version"", ""Clear cache"", ""Reinstall app""], ""reported_at"": ""2025-02-07T14:36:15.193056"", ""last_updated"": ""2025-02-10T14:36:15.193058""}"
Email notifications are not being sent to customers.,resolved,critical,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-22T14:36:15.193062"", ""last_updated"": ""2025-02-10T14:36:15.193064""}"
Users unable to reset passwords via the portal.,resolved,medium,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-15T14:36:15.193069"", ""last_updated"": ""2025-02-10T14:36:15.193070""}"
VPN connection drops intermittently for remote workers.,in_progress,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-10T14:36:15.193075"", ""last_updated"": ""2025-02-10T14:36:15.193076""}"
Application crashes when submitting a form.,open,medium,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-02-01T14:36:15.193081"", ""last_updated"": ""2025-02-10T14:36:15.193083""}"
"User cannot log in, receiving authentication error.",open,critical,"{""tags"": [""database"", ""connectivity""], ""resolution_steps"": [""Restart DB service"", ""Check connection pool""], ""reported_at"": ""2025-01-21T14:36:15.193087"", ""last_updated"": ""2025-02-10T14:36:15.193089""}"
File uploads fail with unknown error message.,resolved,medium,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-24T14:36:15.193094"", ""last_updated"": ""2025-02-10T14:36:15.193095""}"
Slow loading times on the website homepage.,resolved,critical,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-13T14:36:15.193100"", ""last_updated"": ""2025-02-10T14:36:15.193102""}"
Slow loading times on the website homepage.,in_progress,low,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-01-30T14:36:15.193106"", ""last_updated"": ""2025-02-10T14:36:15.193107""}"
"User cannot log in, receiving authentication error.",open,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-07T14:36:15.193112"", ""last_updated"": ""2025-02-10T14:36:15.193114""}"
File uploads fail with unknown error message.,open,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-18T14:36:15.193118"", ""last_updated"": ""2025-02-10T14:36:15.193119""}"
Mobile app freezes when navigating to settings.,open,high,"{""tags"": [""uploads"", ""file-management""], ""resolution_steps"": [""Increase file size limit"", ""Check file format""], ""reported_at"": ""2025-01-27T14:36:15.193124"", ""last_updated"": ""2025-02-10T14:36:15.193126""}"
"User cannot log in, receiving authentication error.",resolved,critical,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-02-09T14:36:15.193131"", ""last_updated"": ""2025-02-10T14:36:15.193132""}"
Mobile app freezes when navigating to settings.,resolved,low,"{""tags"": [""security"", ""data-protection""], ""resolution_steps"": [""Run vulnerability scan"", ""Check firewall rules""], ""reported_at"": ""2025-01-19T14:36:15.193140"", ""last_updated"": ""2025-02-10T14:36:15.193141""}"
File uploads fail with unknown error message.,in_progress,low,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-18T14:36:15.193146"", ""last_updated"": ""2025-02-10T14:36:15.193148""}"
